Qudrat	HABITAT	Area	Ar_AG	Ar_SH	Ar_QF	Sp_T	Sp_Ub	Sp_AG	Sp_SH	Sp_QF
D55	SH	3025	0	3025	0	3	2	0	1	0
E0	na	1890625	441439	1123814	325372	25	8	3	5	9
E1	na	75625	21130	23242	31254	16	5	0	3	8
E11	QF	3025	0	0	3025	6	2	0	0	4
E12	QF	3025	0	0	3025	2	2	0	0	0
E13	QF	3025	0	0	3025	6	1	0	0	5
E14	SH	3025	0	3025	0	4	1	0	3	0
E15	AG	3025	3025	0	0	3	2	0	0	1
E2	na	75625	0	75625	0	4	1	0	3	0
E21	SH	3025	0	3025	0	1	0	0	1	0
E22	SH	3025	0	3025	0	1	0	0	1	0
E23	SH	3025	0	3025	0	0	0	0	0	0
E24	SH	3025	0	3025	0	3	1	0	2	0
E25	SH	3025	0	3025	0	0	0	0	0	0
E3	na	75625	198	53887	21540	18	6	2	5	5
E31	QF	3025	0	0	3025	8	4	0	0	4
E32	SH	3025	0	3025	0	2	0	0	2	0
E33	SH	3025	0	3025	0	4	1	0	3	0
E34	QF	3025	0	0	3025	7	3	1	0	3
E35	SH	3025	0	3025	0	5	1	1	3	0
E4	na	75625	0	75625	0	5	2	0	3	0
E41	SH	3025	0	3025	0	0	0	0	0	0
E42	SH	3025	0	3025	0	0	0	0	0	0
E43	SH	3025	0	3025	0	2	1	0	1	0
E44	SH	3025	0	3025	0	4	2	0	2	0
E45	SH	3025	0	3025	0	3	1	0	2	0
E5	na	75625	59085	0	16540	17	8	2	1	6
E51	AG	3025	3025	0	0	4	3	0	0	1
E52	SH	3025	0	3025	0	4	1	0	1	2
E53	AG	3025	3025	0	0	2	1	0	0	1
E54	QF	3025	0	0	3025	9	5	0	0	4
E55	AG	3025	3025	0	0	7	4	2	0	1
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
